a=00111101, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00111101, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00111101, sa=0, s=0, e=1, bus wire=00111110
a=00111110, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00111110, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00111110, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00111110, sa=0, s=0, e=1, bus wire=00111111
a=00111111, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00111111, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00111111, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00111111, sa=0, s=0, e=1, bus wire=01000000
a=01000000, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01000000, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=01000000, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01000000, sa=0, s=0, e=1, bus wire=01000001
a=01000001, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01000001, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=01000001, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01000001, sa=0, s=0, e=1, bus wire=01000010
a=01000010, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01000010, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=01000010, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01000010, sa=0, s=0, e=1, bus wire=01000011
a=01000011, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01000011, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=01000011, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01000011, sa=0, s=0, e=1, bus wire=01000100
a=01000100, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01000100, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=01000100, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01000100, sa=0, s=0, e=1, bus wire=01000101
a=01000101, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01000101, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=01000101, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01000101, sa=0, s=0, e=1, bus wire=01000110
a=01000110, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01000110, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=01000110, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01000110, sa=0, s=0, e=1, bus wire=01000111
a=01000111, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01000111, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=01000111, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01000111, sa=0, s=0, e=1, bus wire=01001000
a=01001000, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01001000, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=01001000, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01001000, sa=0, s=0, e=1, bus wire=01001001
a=01001001, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01001001, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=01001001, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01001001, sa=0, s=0, e=1, bus wire=01001010
a=01001010, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01001010, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=01001010, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01001010, sa=0, s=0, e=1, bus wire=01001011
a=01001011, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01001011, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=01001011, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01001011, sa=0, s=0, e=1, bus wire=01001100
a=01001100, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01001100, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=01001100, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01001100, sa=0, s=0, e=1, bus wire=01001101
a=01001101, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01001101, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=01001101, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01001101, sa=0, s=0, e=1, bus wire=01001110
a=01001110, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01001110, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=01001110, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01001110, sa=0, s=0, e=1, bus wire=01001111
a=01001111, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01001111, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=01001111, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01001111, sa=0, s=0, e=1, bus wire=01010000
a=01010000, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01010000, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=01010000, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01010000, sa=0, s=0, e=1, bus wire=01010001
a=01010001, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01010001, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=01010001, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01010001, sa=0, s=0, e=1, bus wire=01010010
a=01010010, sa=0, s=0, e=0, bus wire=zzzzzzzz
